source_code,description,product_category,trade_category,unit,average_price
107.GLFRE1,Papadopoulos gluten-free bread 300g,NON PERISHABLE FOODS,1052  GLUTEN FREE PRODUCTS,kg,2.7301796
107.GLFRE2,Grecian living toast bread gl.free 300gr,NON PERISHABLE FOODS,1052  GLUTEN FREE PRODUCTS,Pc,2.0806060999999998
107.GLFRE3,La mosilana gl.free penne rigate 400gr,NON PERISHABLE FOODS,1052  GLUTEN FREE PRODUCTS,kg,2.0816667
107.GLFRE5,Schar choriatiko bread slices gl.free 240g,NON PERISHABLE FOODS,1052  GLUTEN FREE PRODUCTS,kg,2.3959090999999999
107.GLFRE7,Schar slices bread pan blanco gl.free 250gr,NON PERISHABLE FOODS,1052  GLUTEN FREE PRODUCTS,Pc,1.76
107.FLO4,Caputo blue flour 1kg,NON PERISHABLE FOODS,1029 FLOURS,kg,3.2879486999999998
107.FLO5,Corn flour 1.5 kg,NON PERISHABLE FOODS,1029 FLOURS,kg,5.4621428999999999
107.FLO6,Dry yeast 500gr,NON PERISHABLE FOODS,1029 FLOURS,kg,4.0222221999999999
106.CHE46,Planteese vegan cheese 180gr,PERISHABLE FOODS,1027 CHEESES,kg,1.0900000000000001
104.ICEC14,Cdo sel vegan Vanilla 2.4L,ICE CREAMS,1016  ICE CREAMS,L,13.04
107.BUT20,Almond butter 210gr,NON PERISHABLE FOODS,1021 BUTTERS,kg,6.7039999999999997
107.ASPR2,Chili paste 500g,NON PERISHABLE FOODS,1031 ASIAN PRODUCTS,kg,4
107.ASPR38,Pickles ginger takahiro 1.5kg,NON PERISHABLE FOODS,1031 ASIAN PRODUCTS,kg,5.2750000000000004
107.CER18,Oat flakes 1kg,NON PERISHABLE FOODS,1032 CEREALS,kg,2.0634020999999998
107.PAST13,De cecco linguine,NON PERISHABLE FOODS,1034 PASTA,kg,6.2091358000000003
107.CAN16,Polpa tomato mutti bag,NON PERISHABLE FOODS,1037 CANS,kg,9.2561569000000006
107.SPIC7,Carry paste green 400gr,NON PERISHABLE FOODS,1040 SPICES,kg,3.7957143000000002
107.NUT10,Chia seeds 500gr,NON PERISHABLE FOODS,1042 NUTS,kg,5.1106249999999998
107.RIC1,Agrino exotic basmati,NON PERISHABLE FOODS,1047 RICES,Pc,5.2563636000000002
107.BRE34,Bread crumbs,NON PERISHABLE FOODS,1051 BREADS,kg,14.31
101.REMA6,Stuffed zucchini,PERISHABLE FOODS,1013 READY-MADE PRODUCTS,Kg,14.04
106.EGG1,Egg yolk 1kg,PERISHABLE FOODS,1020 EGGS,kg,8.82
106.MILK8,Delta milk full fat 1.5L,PERISHABLE FOODS,1022 MILKS,Pc,2.1401064999999999
106.FRVEG2,Agata' net potatoes,PERISHABLE FOODS,1025 FRESH VEGETABLES,kg,2.1507431000000001
106.FRVEG17,Domestic leeks / kilo,PERISHABLE FOODS,1025 FRESH VEGETABLES,kg,2.3389319999999998
106.FRVEG102,Horseradish intake,PERISHABLE FOODS,1025 FRESH VEGETABLES,kg,10.5441296
106.FRVEG40,Net potatoes / kilo,PERISHABLE FOODS,1025 FRESH VEGETABLES,kg,1.9025437000000001
106.FRVEG54,White cabbage / kilo,PERISHABLE FOODS,1025 FRESH VEGETABLES,kg,1.1082464000000001
106.CHE11,Cutting gouda /kg,PERISHABLE FOODS,1027 CHEESES,kg,6.2509407000000001
106.CHE42,Pack Edam slices 1 kg,PERISHABLE FOODS,1027 CHEESES,kg,6.9377049
106.FRFRU29,Domestic white grapes,PERISHABLE FOODS,1028 FRESH FRUITS,kg,4.7527555000000001
101.LAM2,Fresh leg of lamb / kilo,FROZEN MEATS,1000 LAMB,Kg,14.357886300000001
101.BEEF23,Argentinian beef flank steak / kilo,FROZEN MEATS,1001 BEEFS,Kg,21.795468100000001
101.BEEF25,Flank steak black angus,FROZEN MEATS,1001 BEEFS,Kg,29.9150657
101.CHI18,Chicken leg A/O fresh fillet,FROZEN MEATS,1004 CHICKENS,Kg,3.8672073
101.PREP2,Beyondmeat burger,FROZEN MEATS,1006 PREPARATIONS,Kg,11.5
101.PORK4,Pork fillet frozen,FROZEN MEATS,1007 PORK,Kg,7.7000893000000001
104.ICEC47, real raspberry strawberry sorbet,ICE CREAMS,1016  ICE CREAMS,Pc,2.2000000000000002
104.ICEC8,Cdo sel Sorbet strawberry 5L,ICE CREAMS,1016  ICE CREAMS,L,24.6
104.ICEC16,Magic classic ice cream 110ml,ICE CREAMS,1016  ICE CREAMS,L,43.2575
108.SCEN4,Vanilla essence,PASTRY PRODUCTS,1053 SCENTS-COLORS,L,7.1931342999999996
108.VARPA13,Maple syrup,PASTRY PRODUCTS,1058 VARIOUS PASTRY PRODUCTS,kg,23.018181800000001
108.CHO16,Cocoa ION 1kg,PASTRY PRODUCTS,1061 CHOCOLATE PRODUCTS,kg,29.72625
102.SEA1,Anchovy /kilo,FROZEN FISH-SEA FOODS,1008 SEA FOODS,Kg,16.9047619
102.SEA31,Octopus T2 FAO34,FROZEN FISH-SEA FOODS,1008 SEA FOODS,Kg,15.995927399999999
102.SEA18,Swordfish /kilo,FROZEN FISH-SEA FOODS,1008 SEA FOODS,Kg,15
102.REMA2,Baked falafel 30pcs 1kg,FROZEN FRUITS-VEGETABLES,1013 READY-MADE PRODUCTS,Kg,6.2168421
103.VEG8,St. Nicolas breakfast beans 2.72kg,FROZEN FRUITS-VEGETABLES,1014 VEGETABLES,Kg,5.0999999999999996
109.OIL1,Extra virgin olive oil Zakynthian 500,OILS-VINEGAR-OLIVES,1064 OILS,Pc,5.2811111000000004
105.PAS17,Apple strudel,PASTRIES,1017 PASTRIES-PIES,kg,1.04
